,Product Name,Cost, Rating,Reviews,Product URL
51,F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),728,4.3 out of 5 stars,160,www.amazon.in/Gear-Colorado-Orange-Laptop-Backpack/dp/B097K6KD7W/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-54
52,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",398,4.1 out of 5 stars,"9,018",www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-55
53,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",929,3.8 out of 5 stars,808,www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-56
54,"Lenovo 15.6"" Casual Backpack B210",749,4.2 out of 5 stars,"27,023",www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-57
55,TRAWOC 80L Travel Backpack for Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack HK007 (PARENT) 1 Year Warranty,"2,332",4.4 out of 5 stars,"7,206",www.amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-58
56,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",499,3.9 out of 5 stars,"10,175",www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_61?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-61
57,"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook| Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men |","2,591",4.3 out of 5 stars,"4,898",www.amazon.in/HAMMONDS-FLYCATCHER-Genuine-Shoulder-Messenger/dp/B07P2TQH78/ref=sr_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-62
58,Lino Perros womens handbag,"1,389",4.1 out of 5 stars,"3,279",www.amazon.in/Lino-Perros-Womens-Floral-Peach/dp/B0B57B7KV7/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-63
59,Kore Regular Gym Bag,59,2.6 out of 5 stars,"1,751",www.amazon.in/Kore-K-REGULAR-GYM-BAG-Regular-Gym-Bag/dp/B09VLK27NF/ref=sr_1_64?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-64
60,TSPARK Red Lemon bg1905 15.6 inch 35 LTR Capacity Laptop Bag for Men Travelling Hiking Backpack for Men and Women,"2,949",4.3 out of 5 stars,84,www.amazon.in/bg1905-Capacity-Laptop-Travelling-Backpack/dp/B082MKHDJ1/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-65
